t_lb,R_disc_birth_50,R_disc_birth_16,R_disc_birth_84,R_eff_birth_50,R_eff_birth_16,R_eff_birth_84
0.0,3.0627707354511955,2.5282775640970505,3.700360376377777,5.6438096664409185,4.672882234779904,6.583954318728249
0.1313131313131313,3.176902347999684,2.6404988694051674,3.770080332777206,5.855867725830661,4.915431781423781,6.703343310201634
0.2626262626262626,3.2699258403206932,2.7621882283041783,3.8411505240824417,5.983573736681992,5.017732790448863,6.873835988586691
0.393939393939394,3.362852777719851,2.847274358330141,3.961863145918146,6.126435690368718,5.121013438959581,7.090680056255297
0.5252525252525253,3.4542570355785416,2.932418622326229,4.076331917047342,6.284016301511292,5.2539282443218545,7.204406901104331
0.6565656565656566,3.5480188240251973,3.017908817486832,4.176801929451041,6.462913416264588,5.482458566193888,7.4205148607073586
0.787878787878788,3.62334885384509,3.1004874718305855,4.259462366189727,6.617463387294565,5.616577762163335,7.584779392665413
0.9191919191919192,3.7024248694868724,3.1929918511328306,4.3420646355366115,6.709532600148885,5.648238416481562,7.723211892173403
1.0505050505050506,3.7661852520292767,3.2727643959879655,4.3982881580433695,6.849564335688635,5.84763802348767,7.82056505913164
1.181818181818182,3.8508724836102144,3.3413937839121544,4.442306062212088,6.951526875380214,5.969280158664149,7.839187132427937
1.3131313131313131,3.904298983295918,3.402824323272379,4.4871936057475015,7.044260379079708,6.122583238238115,7.913507345847338
1.4444444444444446,3.969743362648979,3.4892249430190376,4.504458105309644,7.113681113103658,6.202273470605361,7.935270027221353
1.575757575757576,4.011642932334682,3.544937940853568,4.536723983516189,7.1809140883928535,6.300960503497597,8.024691806538344
1.7070707070707072,4.045255857273083,3.6055438870348393,4.550617888332613,7.194714349958747,6.353786078076916,7.958464803025677
1.838383838383839,4.061175199355207,3.659935384482471,4.574606164726897,7.21881677428868,6.429173905614765,8.030866422913256
1.96969696969697,4.083806217316335,3.7174735908206493,4.606599627308877,7.196147846096718,6.502650433855161,8.00887378813853
2.101010101010101,4.105486499404481,3.7421036705551214,4.609575572450126,7.252832360833917,6.499590694676134,8.03403537179147
2.2323232323232327,4.118546881363997,3.7442134844739083,4.595518181049654,7.281419772059693,6.570821060252134,8.028740992828096
2.363636363636364,4.1314855402633155,3.74448565771093,4.6037428714356565,7.330190140495656,6.618190672996841,8.044355837447158
2.4949494949494957,4.131786721996097,3.7333346798945297,4.608402530203848,7.318798635161725,6.615481699760452,8.099021508077803
2.6262626262626263,4.1146918792970295,3.7120105888748065,4.60157106646125,7.260570322754308,6.480120548646322,8.012767816489653
2.757575757575758,4.096427213215418,3.6834984015282233,4.585160245863181,7.287199708580962,6.5253958239049314,8.069746015856776
2.8888888888888893,4.079753685414442,3.6690537007967894,4.5516817645653616,7.271416066203471,6.491272603608369,7.999662447831412
3.0202020202020203,4.050893699688949,3.640761227156574,4.507381670180941,7.2027810506407315,6.462949286861725,7.929712407477481
3.151515151515152,3.9994814884373735,3.6286122816300503,4.455261894981793,7.053161970216508,6.352277801431652,7.724861125752224
3.2828282828282838,3.95553927369681,3.5883192282518674,4.382784987926555,7.0228357070142575,6.29268285536471,7.694610235284019
3.4141414141414144,3.890245583547156,3.546923399695266,4.297006839156385,6.8549221685275405,6.204162440944171,7.487714078382916
3.545454545454546,3.8221461608175393,3.4993294298947077,4.191011124330017,6.73173452021995,6.092652605133434,7.319886181277058
